GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Lutece contact plugin,fr.paris.lutece.plugins.contact.web,ContactListJspBean,988,0,50,0,184,0,45,0,20,0
Lutece contact plugin,fr.paris.lutece.plugins.contact.web,ContactJspBean,376,0,16,0,65,0,17,0,9,0
Lutece contact plugin,fr.paris.lutece.plugins.contact.web,ContactApp,942,0,124,0,176,0,69,0,7,0
Lutece contact plugin,fr.paris.lutece.plugins.contact.service,ContactListPlugin,6,0,0,0,3,0,2,0,2,0
Lutece contact plugin,fr.paris.lutece.plugins.contact.service,ContactListWorkgroupRemovalListener,38,0,8,0,10,0,7,0,3,0
Lutece contact plugin,fr.paris.lutece.plugins.contact.service,ContactService,13,0,0,0,6,0,4,0,4,0
Lutece contact plugin,fr.paris.lutece.plugins.contact.service,ContactWorkgroupRemovalListener,38,0,8,0,10,0,7,0,3,0
Lutece contact plugin,fr.paris.lutece.plugins.contact.service,ContactPlugin,6,0,0,0,3,0,2,0,2,0
Lutece contact plugin,fr.paris.lutece.plugins.contact.service,ContactListService,12,0,0,0,5,0,4,0,4,0
Lutece contact plugin,fr.paris.lutece.plugins.contact.business,ContactListDAO,870,0,36,0,241,0,43,0,25,0
Lutece contact plugin,fr.paris.lutece.plugins.contact.business,ContactListRoleRemovalListener,25,0,6,0,8,0,6,0,3,0
Lutece contact plugin,fr.paris.lutece.plugins.contact.business,ContactList,102,0,12,0,35,0,26,0,20,0
Lutece contact plugin,fr.paris.lutece.plugins.contact.business,ContactHome,63,0,0,0,16,0,11,0,11,0
Lutece contact plugin,fr.paris.lutece.plugins.contact.business,Contact,64,0,6,0,23,0,17,0,14,0
Lutece contact plugin,fr.paris.lutece.plugins.contact.business,ContactListHome,125,0,0,0,32,0,24,0,24,0
Lutece contact plugin,fr.paris.lutece.plugins.contact.business,ContactDAO,451,0,16,0,126,0,24,0,16,0
